date,temperature,humidity,luminosity
2023-12-07 15:52:01.636,21.5,35.5,103
2023-12-07 15:52:00.628,21.5,35.5,103
2023-12-07 15:51:59.628,21.5,35.5,103
2023-12-07 15:51:58.621,21.5,35.5,103
2023-12-07 15:51:57.617,21.5,35.5,103
2023-12-07 15:51:56.609,21.5,35.6,103
2023-12-07 15:51:55.610,21.5,35.6,103
2023-12-07 15:51:54.602,21.5,35.6,104
2023-12-07 15:51:53.598,21.5,35.6,104
2023-12-07 15:51:52.591,21.5,35.6,103
2023-12-07 15:51:51.591,21.5,35.6,103
2023-12-07 15:51:50.583,21.5,35.7,103
2023-12-07 15:51:49.580,21.5,35.7,103
2023-12-07 15:51:48.572,21.5,35.8,104
2023-12-07 15:51:47.573,21.5,35.8,103
2023-12-07 15:51:46.565,21.5,35.8,103
2023-12-07 15:51:45.561,21.5,35.8,103
2023-12-07 15:51:44.553,21.5,35.9,103
2023-12-07 15:51:43.554,21.5,35.9,103
2023-12-07 15:51:42.546,21.5,36.0,102
2023-12-07 15:51:41.542,21.5,36.0,103
2023-12-07 15:51:40.534,21.5,36.0,103
2023-12-07 15:51:39.535,21.5,36.0,103
2023-12-07 15:51:38.527,21.5,36.1,102
2023-12-07 15:51:37.524,21.5,36.1,103
2023-12-07 15:51:36.516,21.4,36.0,103
2023-12-07 15:51:35.516,21.4,36.0,103
2023-12-07 15:51:34.509,21.5,36.0,104
2023-12-07 15:51:33.505,21.5,36.0,103
2023-12-07 15:51:32.498,21.5,36.0,101
2023-12-07 15:51:31.498,21.5,36.0,101
2023-12-07 15:51:30.490,21.5,36.1,101
2023-12-07 15:51:29.487,21.5,36.1,100
2023-12-07 15:51:28.479,21.5,36.2,101
2023-12-07 15:51:27.479,21.5,36.2,101
2023-12-07 15:51:26.472,21.5,36.3,103
2023-12-07 15:51:25.468,21.5,36.3,103
2023-12-07 15:51:24.460,21.4,36.2,103
2023-12-07 15:51:23.461,21.4,36.2,103
2023-12-07 15:51:22.453,21.5,36.1,104
2023-12-07 15:51:21.449,21.5,36.1,104
2023-12-07 15:51:20.441,21.5,35.5,104
2023-12-07 15:51:19.441,21.5,35.5,104
2023-12-07 15:51:18.434,21.5,35.5,103
2023-12-07 15:51:17.430,21.5,35.5,102
2023-12-07 15:51:16.422,21.5,35.5,102
2023-12-07 15:51:15.423,21.5,35.5,104
2023-12-07 15:51:14.415,21.4,35.5,104
2023-12-07 15:51:13.411,21.4,35.5,103
2023-12-07 15:51:12.404,21.5,35.6,103
2023-12-07 15:51:11.404,21.5,35.6,103
2023-12-07 15:51:10.396,21.5,35.6,103
2023-12-07 15:51:09.393,21.5,35.6,102
2023-12-07 15:51:08.385,21.5,35.6,101
2023-12-07 15:51:07.385,21.5,35.6,102
2023-12-07 15:51:06.378,21.4,35.5,104
2023-12-07 15:51:05.374,21.4,35.5,103
2023-12-07 15:51:04.366,21.5,35.6,103
2023-12-07 15:51:03.367,21.5,35.6,104
2023-12-07 15:51:02.359,21.4,35.5,104
2023-12-07 15:51:01.355,21.4,35.5,103
2023-12-07 15:51:00.348,21.5,35.6,103
2023-12-07 15:50:59.348,21.5,35.6,102
2023-12-07 15:50:58.340,21.5,35.6,102
